"Dim5","gene","rank"
0.0551283992826939,"MAPK4",638
0.0550244376063347,"NPAS4",639
0.0546799562871456,"HYDIN2",640
0.0546438954770565,"SYNGAP1",641
0.054490938782692,"DHCR24",642
0.054422851651907,"CDH11",643
0.0542466044425964,"EGFEM1P",644
0.0541096068918705,"GHITM",645
0.0534440167248249,"PCDH10",646
0.0533644147217274,"DUSP6",647
0.0532169081270695,"ST8SIA5",648
0.0532166436314583,"THSD7A",649
0.0530663877725601,"B4GAT1",650
0.0530217178165913,"ARL8A",651
0.0524003505706787,"LY6E",652
0.0523840971291065,"TMEM160",653
0.0522207096219063,"TUBA4A",654
0.0521467067301273,"TBRG1",655
0.0519693158566952,"INTS1",656
0.0519567728042603,"CX3CL1",657
0.051934652030468,"PCDH11X",658
0.0514773763716221,"ATP6AP1",659
0.0514584854245186,"SKP1",660
0.0512944720685482,"CIRBP",661
0.0512847453355789,"DIRAS1",662
0.0512690283358097,"MAPK8IP1",663
0.0512078404426575,"RP11-1157N2--B.2",664
0.0511977225542068,"NBL1",665
0.0510758794844151,"SIDT1",666
0.0510624460875988,"TOP1",667
0.0510162934660912,"C1QTNF4",668
0.0508676655590534,"STXBP5-AS1",669
0.0507086254656315,"EIF1",670
0.0506893470883369,"ATP6V0E2",671
0.0502462238073349,"VDAC1",672
0.0501553863286972,"B4GALNT4",673
0.0500754304230213,"GNAL",674
0.0498801246285439,"NAALADL2",675
0.0498047657310963,"EIF4G2",676
0.0495983399450779,"AC007563.5",677
0.0494682304561138,"TAGLN3",678
0.0493789426982403,"PSD",679
0.0493554584681988,"RP11-624C23.1",680
0.0492887794971466,"GRINA",681
0.0492782071232796,"SYT3",682
0.0488997176289558,"GNB2",683
0.0488987825810909,"ATP5I",684
0.0488732978701591,"CHGA",685
0.0488452985882759,"REEP5",686
0.0484494082629681,"CORO6",687
0.0482896529138088,"CTSB",688
0.0479005537927151,"PFDN2",689
0.0474968701601028,"STMN4",690
0.047333937138319,"GUK1",691
0.0473185405135155,"AC007969.5",692
0.0473135448992252,"AGAP2",693
0.0471915751695633,"RNPC3",694
0.0470754280686378,"YJEFN3",695
0.0469810552895069,"LINC00685",696
0.046652477234602,"PCBP1",697
0.0466328077018261,"SLC25A22",698
0.0466069765388966,"EID1",699
0.0464945659041405,"AC091878.1",700
0.0462316535413265,"PLXDC2",701
0.0461526215076447,"GOLGA8B",702
0.0459938421845436,"SEZ6L2",703
0.0459487847983837,"EEF2",704
0.0458727590739727,"SDC3",705
0.0458096414804459,"ILDR2",706
0.0456383600831032,"SUB1",707
0.0455482415854931,"FLJ39080",708
0.0455412194132805,"SSBP4",709
0.0454270429909229,"ITPR2",710
0.0452046878635883,"PPFIA3",711
0.0451434440910816,"STAT4",712
0.0450744479894638,"OTUB1",713
0.0448124781250954,"TBCB",714
0.0445977076888084,"MPPED1",715
0.04451484978199,"TPT1",716
0.0444249957799911,"GYG2P1",717
0.0443217232823372,"PRRT1",718
0.0442181155085564,"ANXA6",719
0.0433170944452286,"MAPK8IP2",720
0.0432586707174778,"MMD",721
0.0431865751743317,"RFK",722
0.0431709699332714,"ATP5D",723
0.0431283451616764,"RP11-112J1.1",724
0.0429508313536644,"CDKN2D",725
