,0,1,2,3,4,5,6,7
TMA7,1.1609322,1.0948335,1.1028224,1.3808811,1.2771387,0.54791147,0.94624096,1.1134391
CAMKV,1.5381502,1.0251588,1.1688654,1.0861682,1.4101148,0.6080098,1.2413442,0.9953774
WDR82,1.3921404,0.7591811,0.91028917,0.8791661,1.2816072,0.58294034,0.7525744,1.1802815
LRTM1,1.3266519,0.7722692,1.0888268,1.4245412,1.2234206,0.45337382,0.8681316,1.4229556
SYNPR,1.3312132,0.75074697,1.5400537,1.3976408,1.119528,0.65092796,0.96448284,1.2630664
PRICKLE2,2.09921,1.3294308,1.4116007,1.374494,1.6074296,0.9580768,1.0380311,1.4530255
ADAMTS9-AS2,1.3269069,0.7267819,1.1435198,0.8044079,1.0810782,0.689366,0.9267053,1.4191891
FAM19A1,1.9464895,2.1444776,2.1020775,1.7525626,2.0623755,4.308092,1.5963486,2.0093539
ARL6IP5,1.3630497,0.8510964,1.4862412,0.9112192,1.557861,0.5580955,0.90439427,1.3046798
ROBO2,2.0477033,2.5790112,2.775142,2.2491803,1.6579715,5.631846,2.2481582,1.7795675
ROBO1,2.033837,1.3960184,1.9853597,1.6260673,1.9644562,1.3448479,1.8813163,2.0144293
CADM2,1.8400613,3.600063,2.2764997,2.0367653,2.0580938,7.753178,2.494529,1.9563744
EPHA3,1.4455552,0.96616185,1.4191374,1.2086488,1.3374224,0.75805885,1.2536975,1.360624
EPHA6,1.6264851,1.815423,2.0605662,1.7156812,1.575495,3.001134,2.292909,1.8252387
FILIP1L,1.683402,0.81707436,1.2681557,1.1581849,1.0749191,0.61588013,0.76403016,1.2520887
RP11-234A1.1,1.2286302,0.63086295,0.88540906,1.0619333,1.3431844,0.6644202,0.8594046,1.2053922
PVRL3,1.6580181,1.462136,2.0752501,1.3129845,1.5552474,1.9276717,1.3400764,1.6287435
TAGLN3,1.37912,0.85930395,1.5238926,1.1794738,1.6006988,0.6704203,1.0588,1.2799814
SIDT1,1.5476576,0.85622257,1.545138,1.2681698,1.0181346,0.7774881,0.79959524,1.3820316
GAP43,1.5861727,1.0363064,1.8263141,1.5365154,1.5552905,1.282883,1.187781,1.3844178
LSAMP,2.0899172,2.2928927,2.1852145,1.7757487,1.8249966,5.2925596,2.2730281,2.0960224
LSAMP-AS1,1.8786385,0.75750077,1.2529999,0.876181,1.255307,0.54442626,1.0064406,1.3093156
RP11-384F7.2,1.4640666,1.8189063,2.1617396,1.5299729,1.80849,1.9974983,1.3652072,1.794638
RP11-384F7.1,1.0640522,0.9484188,1.1138985,1.101001,1.3694488,0.51425886,0.7387981,1.1130488
ENPP7P4,1.4420842,0.7433963,1.4212854,1.1114972,1.3745328,0.7856914,0.9369458,1.3698819
CPNE4,1.5788522,0.97034085,1.2806487,1.379854,1.0640196,1.0282792,1.04189,1.5944033
RAB6B,1.3933053,0.9132849,1.1143117,1.3653551,1.215671,0.7354198,1.0759583,1.1987016
CLSTN2,1.4885474,1.0562922,1.2020693,1.0547658,1.2581029,0.903078,0.84972924,1.3171405
P2RY14,1.506341,0.7493001,1.2024896,1.1295514,1.238676,0.54535913,1.119676,1.4579664
IGSF10,1.345537,0.81111264,1.134282,1.3196988,1.1481112,0.59068376,0.7965929,1.1950102
MBNL1,1.4876769,1.2939174,1.599984,1.5297017,1.3185447,0.927451,1.0678421,1.3953943
LINC01322,1.8501706,0.8575692,1.1227483,1.0682031,1.6117572,0.68380684,1.0923121,1.4079615
SERPINI1,1.796933,1.4749452,1.5066928,1.4593472,1.643341,1.1692886,0.99850947,1.3968668
